"filename", "language", "C++", "JSON", "Markdown", "CMake", "comment", "blank", "total"
"c:\Users\jghig\cxxprojects\licanc\CMakeLists.txt", "CMake", 0, 0, 0, 21, 0, 5, 26
"c:\Users\jghig\cxxprojects\licanc\CMakePresets.json", "JSON", 0, 44, 0, 0, 0, 1, 45
"c:\Users\jghig\cxxprojects\licanc\README.md", "Markdown", 0, 0, 2, 0, 0, 1, 3
"c:\Users\jghig\cxxprojects\licanc\include\arena.hh", "C++", 41, 0, 0, 0, 3, 11, 55
"c:\Users\jghig\cxxprojects\licanc\include\ast.hh", "C++", 362, 0, 0, 0, 23, 106, 491
"c:\Users\jghig\cxxprojects\licanc\include\core.hh", "C++", 107, 0, 0, 0, 17, 43, 167
"c:\Users\jghig\cxxprojects\licanc\include\licanapi.hh", "C++", 26, 0, 0, 0, 22, 13, 61
"c:\Users\jghig\cxxprojects\licanc\include\parse.hh", "C++", 102, 0, 0, 0, 15, 26, 143
"c:\Users\jghig\cxxprojects\licanc\include\symbol.hh", "C++", 126, 0, 0, 0, 12, 48, 186
"c:\Users\jghig\cxxprojects\licanc\include\token.hh", "C++", 87, 0, 0, 0, 1, 24, 112
"c:\Users\jghig\cxxprojects\licanc\include\util.hh", "C++", 52, 0, 0, 0, 10, 14, 76
"c:\Users\jghig\cxxprojects\licanc\src\ast.cc", "C++", 345, 0, 0, 0, 7, 45, 397
"c:\Users\jghig\cxxprojects\licanc\src\core.cc", "C++", 54, 0, 0, 0, 0, 17, 71
"c:\Users\jghig\cxxprojects\licanc\src\generate.cc", "C++", 9, 0, 0, 0, 0, 3, 12
"c:\Users\jghig\cxxprojects\licanc\src\lex.cc", "C++", 213, 0, 0, 0, 18, 60, 291
"c:\Users\jghig\cxxprojects\licanc\src\licanapi.cc", "C++", 112, 0, 0, 0, 1, 34, 147
"c:\Users\jghig\cxxprojects\licanc\src\main.cc", "C++", 151, 0, 0, 0, 16, 50, 217
"c:\Users\jghig\cxxprojects\licanc\src\parse.cc", "C++", 626, 0, 0, 0, 77, 197, 900
"c:\Users\jghig\cxxprojects\licanc\src\semantic.cc", "C++", 381, 0, 0, 0, 121, 154, 656
"Total", "-", 2794, 44, 2, 21, 343, 852, 4056
