"filename", "language", "C++", "Markdown", "CMake", "JSON", "comment", "blank", "total"
"c:\Users\jghig\cxxprojects\licanc\CMakeLists.txt", "CMake", 0, 0, 22, 0, 0, 5, 27
"c:\Users\jghig\cxxprojects\licanc\CMakePresets.json", "JSON", 0, 0, 0, 44, 0, 1, 45
"c:\Users\jghig\cxxprojects\licanc\README.md", "Markdown", 0, 2, 0, 0, 0, 1, 3
"c:\Users\jghig\cxxprojects\licanc\include\arena.hh", "C++", 42, 0, 0, 0, 3, 12, 57
"c:\Users\jghig\cxxprojects\licanc\include\ast.hh", "C++", 362, 0, 0, 0, 23, 106, 491
"c:\Users\jghig\cxxprojects\licanc\include\core.hh", "C++", 107, 0, 0, 0, 17, 43, 167
"c:\Users\jghig\cxxprojects\licanc\include\licanapi.hh", "C++", 26, 0, 0, 0, 22, 13, 61
"c:\Users\jghig\cxxprojects\licanc\include\parse.hh", "C++", 102, 0, 0, 0, 15, 26, 143
"c:\Users\jghig\cxxprojects\licanc\include\symbol.hh", "C++", 137, 0, 0, 0, 12, 50, 199
"c:\Users\jghig\cxxprojects\licanc\include\token.hh", "C++", 87, 0, 0, 0, 1, 24, 112
"c:\Users\jghig\cxxprojects\licanc\include\util.hh", "C++", 53, 0, 0, 0, 10, 14, 77
"c:\Users\jghig\cxxprojects\licanc\src\ast.cc", "C++", 345, 0, 0, 0, 7, 45, 397
"c:\Users\jghig\cxxprojects\licanc\src\core.cc", "C++", 54, 0, 0, 0, 0, 17, 71
"c:\Users\jghig\cxxprojects\licanc\src\generate.cc", "C++", 9, 0, 0, 0, 0, 3, 12
"c:\Users\jghig\cxxprojects\licanc\src\lex.cc", "C++", 213, 0, 0, 0, 18, 60, 291
"c:\Users\jghig\cxxprojects\licanc\src\licanapi.cc", "C++", 110, 0, 0, 0, 6, 34, 150
"c:\Users\jghig\cxxprojects\licanc\src\main.cc", "C++", 151, 0, 0, 0, 16, 50, 217
"c:\Users\jghig\cxxprojects\licanc\src\parse.cc", "C++", 618, 0, 0, 0, 77, 197, 892
"c:\Users\jghig\cxxprojects\licanc\src\semantic.cc", "C++", 493, 0, 0, 0, 132, 182, 807
"c:\Users\jghig\cxxprojects\licanc\src\symbol.cc", "C++", 104, 0, 0, 0, 1, 18, 123
"Total", "-", 3013, 2, 22, 44, 360, 901, 4342
