"filename", "language", "Markdown", "JSON", "C++", "CMake", "comment", "blank", "total"
"c:\Users\jghig\projects\c\lican_loader\CMakeLists.txt", "CMake", 0, 0, 0, 14, 0, 6, 20
"c:\Users\jghig\projects\c\lican_loader\CMakePresets.json", "JSON", 0, 44, 0, 0, 0, 1, 45
"c:\Users\jghig\projects\c\lican_loader\README.md", "Markdown", 9, 0, 0, 0, 0, 5, 14
"c:\Users\jghig\projects\c\lican_loader\licanc\CMakeLists.txt", "CMake", 0, 0, 0, 10, 0, 3, 13
"c:\Users\jghig\projects\c\lican_loader\licanc\include\frontend\manager.hh", "C++", 0, 0, 89, 0, 15, 33, 137
"c:\Users\jghig\projects\c\lican_loader\licanc\include\frontend\manager_types.hh", "C++", 0, 0, 11, 0, 10, 10, 31
"c:\Users\jghig\projects\c\lican_loader\licanc\include\frontend\scan\ast.hh", "C++", 0, 0, 244, 0, 77, 83, 404
"c:\Users\jghig\projects\c\lican_loader\licanc\include\frontend\scan\lexer.hh", "C++", 0, 0, 7, 0, 0, 4, 11
"c:\Users\jghig\projects\c\lican_loader\licanc\include\frontend\scan\parser.hh", "C++", 0, 0, 7, 0, 0, 3, 10
"c:\Users\jghig\projects\c\lican_loader\licanc\include\frontend\scan\token.hh", "C++", 0, 0, 14, 0, 13, 9, 36
"c:\Users\jghig\projects\c\lican_loader\licanc\include\frontend\sema\full_passer.hh", "C++", 0, 0, 7, 0, 0, 4, 11
"c:\Users\jghig\projects\c\lican_loader\licanc\include\frontend\sema\sema.hh", "C++", 0, 0, 29, 0, 1, 7, 37
"c:\Users\jghig\projects\c\lican_loader\licanc\include\frontend\sema\semantic_analyzer.hh", "C++", 0, 0, 6, 0, 5, 4, 15
"c:\Users\jghig\projects\c\lican_loader\licanc\include\frontend\sema\sym.hh", "C++", 0, 0, 115, 0, 41, 32, 188
"c:\Users\jghig\projects\c\lican_loader\licanc\include\frontend\sema\symbol_registrar.hh", "C++", 0, 0, 7, 0, 5, 5, 17
"c:\Users\jghig\projects\c\lican_loader\licanc\include\licanc.hh", "C++", 0, 0, 10, 0, 6, 4, 20
"c:\Users\jghig\projects\c\lican_loader\licanc\include\util\ansi_format.hh", "C++", 0, 0, 34, 0, 0, 1, 35
"c:\Users\jghig\projects\c\lican_loader\licanc\include\util\arena.hh", "C++", 0, 0, 124, 0, 31, 39, 194
"c:\Users\jghig\projects\c\lican_loader\licanc\include\util\hash.hh", "C++", 0, 0, 10, 0, 0, 3, 13
"c:\Users\jghig\projects\c\lican_loader\licanc\include\util\intern_pool.hh", "C++", 0, 0, 30, 0, 0, 10, 40
"c:\Users\jghig\projects\c\lican_loader\licanc\include\util\safe_id.hh", "C++", 0, 0, 48, 0, 1, 15, 64
"c:\Users\jghig\projects\c\lican_loader\licanc\include\util\span.hh", "C++", 0, 0, 15, 0, 0, 6, 21
"c:\Users\jghig\projects\c\lican_loader\licanc\include\util\vector_hasher.hh", "C++", 0, 0, 16, 0, 29, 6, 51
"c:\Users\jghig\projects\c\lican_loader\licanc\src\frontend\manager.cc", "C++", 0, 0, 192, 0, 26, 65, 283
"c:\Users\jghig\projects\c\lican_loader\licanc\src\frontend\scan\lexer.cc", "C++", 0, 0, 3, 0, 0, 2, 5
"c:\Users\jghig\projects\c\lican_loader\licanc\src\frontend\scan\parser.cc", "C++", 0, 0, 11, 0, 1, 5, 17
"c:\Users\jghig\projects\c\lican_loader\licanc\src\frontend\sema\full_passer.cc", "C++", 0, 0, 3, 0, 0, 2, 5
"c:\Users\jghig\projects\c\lican_loader\licanc\src\frontend\sema\semantic_analyzer.cc", "C++", 0, 0, 12, 0, 0, 4, 16
"c:\Users\jghig\projects\c\lican_loader\licanc\src\frontend\sema\symbol_registrar.cc", "C++", 0, 0, 98, 0, 55, 35, 188
"c:\Users\jghig\projects\c\lican_loader\licanc\src\licanc.cc", "C++", 0, 0, 9, 0, 0, 5, 14
"c:\Users\jghig\projects\c\lican_loader\licanc\src\util\span.cc", "C++", 0, 0, 7, 0, 0, 2, 9
"c:\Users\jghig\projects\c\lican_loader\src\main.cc", "C++", 0, 0, 25, 0, 22, 13, 60
"Total", "-", 9, 44, 1183, 24, 338, 426, 2024
