"filename", "language", "Markdown", "C++", "CMake", "JSON", "comment", "blank", "total"
"c:\Users\jghig\projects\c\lican_loader\CMakeLists.txt", "CMake", 0, 0, 14, 0, 0, 6, 20
"c:\Users\jghig\projects\c\lican_loader\CMakePresets.json", "JSON", 0, 0, 0, 44, 0, 1, 45
"c:\Users\jghig\projects\c\lican_loader\README.md", "Markdown", 9, 0, 0, 0, 0, 5, 14
"c:\Users\jghig\projects\c\lican_loader\licanc\CMakeLists.txt", "CMake", 0, 0, 10, 0, 0, 3, 13
"c:\Users\jghig\projects\c\lican_loader\licanc\include\frontend\manager.hh", "C++", 0, 106, 0, 0, 12, 44, 162
"c:\Users\jghig\projects\c\lican_loader\licanc\include\frontend\manager_types.hh", "C++", 0, 10, 0, 0, 9, 9, 28
"c:\Users\jghig\projects\c\lican_loader\licanc\include\frontend\scan\ast.hh", "C++", 0, 293, 0, 0, 80, 98, 471
"c:\Users\jghig\projects\c\lican_loader\licanc\include\frontend\scan\lexer.hh", "C++", 0, 9, 0, 0, 0, 6, 15
"c:\Users\jghig\projects\c\lican_loader\licanc\include\frontend\scan\parser.hh", "C++", 0, 8, 0, 0, 0, 4, 12
"c:\Users\jghig\projects\c\lican_loader\licanc\include\frontend\scan\token.hh", "C++", 0, 14, 0, 0, 13, 10, 37
"c:\Users\jghig\projects\c\lican_loader\licanc\include\frontend\sema\full_passer.hh", "C++", 0, 9, 0, 0, 0, 6, 15
"c:\Users\jghig\projects\c\lican_loader\licanc\include\frontend\sema\sema.hh", "C++", 0, 28, 0, 0, 0, 8, 36
"c:\Users\jghig\projects\c\lican_loader\licanc\include\frontend\sema\semantic_analyzer.hh", "C++", 0, 6, 0, 0, 5, 4, 15
"c:\Users\jghig\projects\c\lican_loader\licanc\include\frontend\sema\sym.hh", "C++", 0, 143, 0, 0, 49, 48, 240
"c:\Users\jghig\projects\c\lican_loader\licanc\include\frontend\sema\sym_registrar.hh", "C++", 0, 14, 0, 0, 5, 6, 25
"c:\Users\jghig\projects\c\lican_loader\licanc\include\licanc.hh", "C++", 0, 18, 0, 0, 6, 6, 30
"c:\Users\jghig\projects\c\lican_loader\licanc\include\util\ansi_format.hh", "C++", 0, 34, 0, 0, 0, 1, 35
"c:\Users\jghig\projects\c\lican_loader\licanc\include\util\arena.hh", "C++", 0, 74, 0, 0, 7, 21, 102
"c:\Users\jghig\projects\c\lican_loader\licanc\include\util\hash.hh", "C++", 0, 10, 0, 0, 0, 3, 13
"c:\Users\jghig\projects\c\lican_loader\licanc\include\util\intern_pool.hh", "C++", 0, 30, 0, 0, 0, 10, 40
"c:\Users\jghig\projects\c\lican_loader\licanc\include\util\panic.hh", "C++", 0, 16, 0, 0, 0, 4, 20
"c:\Users\jghig\projects\c\lican_loader\licanc\include\util\safe_id.hh", "C++", 0, 51, 0, 0, 1, 15, 67
"c:\Users\jghig\projects\c\lican_loader\licanc\include\util\span.hh", "C++", 0, 15, 0, 0, 0, 6, 21
"c:\Users\jghig\projects\c\lican_loader\licanc\include\util\vector_hasher.hh", "C++", 0, 17, 0, 0, 30, 6, 53
"c:\Users\jghig\projects\c\lican_loader\licanc\include\util\weird_arena.hh", "C++", 0, 130, 0, 0, 31, 41, 202
"c:\Users\jghig\projects\c\lican_loader\licanc\src\frontend\scan\ast.cc", "C++", 0, 10, 0, 0, 0, 5, 15
"c:\Users\jghig\projects\c\lican_loader\licanc\src\frontend\scan\lexer.cc", "C++", 0, 3, 0, 0, 0, 2, 5
"c:\Users\jghig\projects\c\lican_loader\licanc\src\frontend\scan\parser.cc", "C++", 0, 8, 0, 0, 0, 8, 16
"c:\Users\jghig\projects\c\lican_loader\licanc\src\frontend\sema\full_passer.cc", "C++", 0, 3, 0, 0, 0, 2, 5
"c:\Users\jghig\projects\c\lican_loader\licanc\src\frontend\sema\semantic_analyzer.cc", "C++", 0, 21, 0, 0, 0, 8, 29
"c:\Users\jghig\projects\c\lican_loader\licanc\src\frontend\sema\sym.cc", "C++", 0, 8, 0, 0, 0, 4, 12
"c:\Users\jghig\projects\c\lican_loader\licanc\src\frontend\sema\sym_registrar.cc", "C++", 0, 94, 0, 0, 51, 36, 181
"c:\Users\jghig\projects\c\lican_loader\licanc\src\licanc.cc", "C++", 0, 20, 0, 0, 1, 6, 27
"c:\Users\jghig\projects\c\lican_loader\licanc\src\manager.cc", "C++", 0, 200, 0, 0, 39, 70, 309
"c:\Users\jghig\projects\c\lican_loader\licanc\src\util\panic.cc", "C++", 0, 21, 0, 0, 2, 5, 28
"c:\Users\jghig\projects\c\lican_loader\licanc\src\util\span.cc", "C++", 0, 7, 0, 0, 0, 2, 9
"c:\Users\jghig\projects\c\lican_loader\src\main.cc", "C++", 0, 25, 0, 0, 22, 13, 60
"Total", "-", 9, 1455, 24, 44, 363, 532, 2427
